Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.0,2.1,0.3,3,32.05,-12.31,-0.62
1,2,0.0,2.1,0.3,7,32.02,-15.0,-0.8
1,2,0.0,2.1,0.3,11,32.02,-17.58,-0.98
1,2,0.0,2.1,0.3,15,32.02,-16.38,-0.9
1,2,0.0,2.1,0.3,19,32.02,-15.69,-0.85
1,2,0.0,2.1,0.6,3,32.05,-12.31,-0.62
1,2,0.0,2.1,0.6,7,32.02,-15.0,-0.8
1,2,0.0,2.1,0.6,11,32.02,-17.58,-0.98
1,2,0.0,2.1,0.6,15,32.02,-16.38,-0.9
1,2,0.0,2.1,0.6,19,32.02,-15.69,-0.85
1,2,0.0,2.1,0.9,3,32.05,-12.31,-0.62
1,2,0.0,2.1,0.9,7,32.02,-15.0,-0.8
1,2,0.0,2.1,0.9,11,32.02,-17.58,-0.98
1,2,0.0,2.1,0.9,15,32.02,-16.38,-0.9
1,2,0.0,2.1,0.9,19,32.02,-15.69,-0.85
1,2,0.0,2.1,1.2,3,32.05,-12.31,-0.62
1,2,0.0,2.1,1.2,7,32.02,-15.0,-0.8
1,2,0.0,2.1,1.2,11,32.02,-17.58,-0.98
1,2,0.0,2.1,1.2,15,32.02,-16.38,-0.9
1,2,0.0,2.1,1.2,19,32.02,-15.69,-0.85
1,2,0.0,2.1,1.5,3,32.05,-12.31,-0.62
1,2,0.0,2.1,1.5,7,32.02,-15.0,-0.8
1,2,0.0,2.1,1.5,11,32.02,-17.58,-0.98
1,2,0.0,2.1,1.5,15,32.02,-16.38,-0.9
1,2,0.0,2.1,1.5,19,32.02,-15.69,-0.85
1,2,0.0,2.1,1.8,3,32.05,-12.31,-0.62
1,2,0.0,2.1,1.8,7,32.02,-15.0,-0.8
1,2,0.0,2.1,1.8,11,32.02,-17.58,-0.98
1,2,0.0,2.1,1.8,15,32.02,-16.38,-0.9
1,2,0.0,2.1,1.8,19,32.02,-15.69,-0.85
1,2,0.0,2.1,2.1,3,32.05,-12.31,-0.62
1,2,0.0,2.1,2.1,7,32.02,-15.0,-0.8
1,2,0.0,2.1,2.1,11,32.02,-17.58,-0.98
1,2,0.0,2.1,2.1,15,32.02,-16.38,-0.9
1,2,0.0,2.1,2.1,19,32.02,-15.69,-0.85
1,2,0.3,0.0,0.0,3,47.1,-16.9,-1.27
1,2,0.3,0.0,0.0,7,47.08,-17.04,-1.28
1,2,0.3,0.0,0.0,11,47.08,-17.06,-1.28
1,2,0.3,0.0,0.0,15,47.08,-17.06,-1.28
1,2,0.3,0.0,0.0,19,47.08,-16.92,-1.27
1,2,0.3,0.0,0.3,3,47.1,-16.9,-1.27
1,2,0.3,0.0,0.3,7,47.08,-17.04,-1.28
1,2,0.3,0.0,0.3,11,47.08,-17.06,-1.28
1,2,0.3,0.0,0.3,15,47.08,-17.06,-1.28
1,2,0.3,0.0,0.3,19,47.08,-16.92,-1.27
1,2,0.3,0.0,0.6,3,47.1,-16.9,-1.27
1,2,0.3,0.0,0.6,7,47.08,-17.04,-1.28
1,2,0.3,0.0,0.6,11,47.08,-17.06,-1.28
1,2,0.3,0.0,0.6,15,47.08,-17.06,-1.28
1,2,0.3,0.0,0.6,19,47.08,-16.92,-1.27
1,2,0.3,0.0,0.9,3,47.1,-16.9,-1.27
1,2,0.3,0.0,0.9,7,47.08,-17.04,-1.28
1,2,0.3,0.0,0.9,11,47.08,-17.06,-1.28
1,2,0.3,0.0,0.9,15,47.08,-17.06,-1.28
1,2,0.3,0.0,0.9,19,47.08,-16.92,-1.27
1,2,0.3,0.0,1.2,3,47.1,-16.9,-1.27
1,2,0.3,0.0,1.2,7,47.08,-17.04,-1.28
1,2,0.3,0.0,1.2,11,47.08,-17.06,-1.28
1,2,0.3,0.0,1.2,15,47.08,-17.06,-1.28
1,2,0.3,0.0,1.2,19,47.08,-16.92,-1.27
1,2,0.3,0.0,1.5,3,47.1,-16.9,-1.27
1,2,0.3,0.0,1.5,7,47.08,-17.04,-1.28
1,2,0.3,0.0,1.5,11,47.08,-17.06,-1.28
1,2,0.3,0.0,1.5,15,47.08,-17.06,-1.28
1,2,0.3,0.0,1.5,19,47.08,-16.92,-1.27
1,2,0.3,0.0,1.8,3,47.1,-16.9,-1.27
1,2,0.3,0.0,1.8,7,47.08,-17.04,-1.28
1,2,0.3,0.0,1.8,11,47.08,-17.06,-1.28
